scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.6712,9903095173,-1,69545000000000.0,0.943247009,221.343002,870.83942,907.86963,118.2525,69979000000000.0,71683000000000.0,61933000000000.0,41956000000000.0,0.6813,0.4605,8160.0,8160.0,18720.0,12110.0,11000.0,4.2614720161787005,0.5045372363284677,0.2733954539149603,0.4898688915375446,51.0,51.0,11.0,4.0
0.6712,9894375236,-1,80714000000000.0,0.991255005,242.278,855.88977,998.62531,176.18814,81118000000000.0,83109000000000.0,73554000000000.0,53891000000000.0,0.8064,0.6142,35440.0,35440.0,36650.0,19520.0,17250.0,4.0913950296766,0.5315771726949187,0.2902274586606927,0.4898688915375446,58.0,58.0,25.0,4.0
0.6712,9903092435,-1,111820000000000.0,1.105025024,299.200012,869.93634,912.4035,120.63219,113680000000000.0,117850000000000.0,97447000000000.0,66494000000000.0,0.7294,0.5032,19750.0,19750.0,21700.0,23540.0,26770.0,3.6932653064198,0.595841985391087,0.330658578014456,0.4898688915375446,63.0,71.0,23.0,5.0
0.6712,9903092587,-1,85909000000000.0,1.01208197,479.062012,870.75348,914.13721,122.0669,91574000000000.0,89325000000000.0,74403000000000.0,37041000000000.0,0.9484,0.5876,32660.0,32660.0,38930.0,23660.0,21590.0,2.1126324873365,0.5433218189089747,0.2975732564127205,0.4898688915375446,77.0,77.0,23.0,4.0
0.6712,9894374989,-1,67837000000000.0,0.935458008,230.723999,840.98065,948.69928,200.99249,67880000000000.0,73393000000000.0,58520000000000.0,40337000000000.0,0.6399,0.5145,2020.0,2020.0,-754.9,14740.0,16330.0,4.0544460569964,0.5001567642333173,0.2706795009211069,0.4898688915375446,32.0,32.0,14.0,6.0
0.6712,9894381744,-1,63030000000000.0,0.912820007,403.434998,813.98724,992.35797,153.91826,63150000000000.0,64885000000000.0,54913000000000.0,29675000000000.0,0.6462,0.526,6842.0,6842.0,4946.0,14320.0,13720.0,2.2626197814399003,0.4874279659990521,0.2628060369172296,0.4898688915375446,56.0,56.0,15.0,3.0
0.6712,9903673482,-1,67581000000000.0,0.934280029,197.460007,884.07166,944.75983,127.75759,67697000000000.0,70584000000000.0,61842000000000.0,46913000000000.0,0.7487,0.5032,5578.0,5578.0,13320.0,12370.0,13410.0,4.7314899011423,0.4994940308941998,0.2702689025124344,0.4898688915375446,68.0,68.0,23.0,8.0
0.6712,9903672685,-1,69186000000000.0,0.941617004,406.830994,881.97723,979.79303,121.01228,69240000000000.0,71024000000000.0,61398000000000.0,35669000000000.0,0.701,0.5498,17340.0,17340.0,17070.0,17000.0,15910.0,2.3145163910495,0.5036223101822865,0.272827777406952,0.4898688915375446,65.0,65.0,27.0,4.0
0.6712,9893759002,-1,71882000000000.0,0.95369397,323.727997,831.63007,918.75885,134.98009,71935000000000.0,73953000000000.0,64821000000000.0,36706000000000.0,0.6458,0.5378,2636.0,2636.0,11560.0,18230.0,18680.0,2.9459730972851,0.5104181553144126,0.277046339362849,0.4898688915375446,48.0,47.0,14.0,8.0
0.6712,9903165998,-1,65252000000000.0,0.923422974,338.773987,878.62408,907.05786,177.70274,65654000000000.0,67391000000000.0,59107000000000.0,29264000000000.0,0.7398,0.5747,1967.0,1967.0,20280.0,14860.0,12930.0,2.72577886566,0.4933879022021187,0.2664892129961368,0.4898688915375446,49.0,49.0,12.0,4.0
