scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
1.0,12572842143,-1,75710000000000.0,0.860789978,195.378006,67.37114,453.82187,148.67845,75805000000000.0,87344000000000.0,61004000000000.0,39500000000000.0,0.7548,0.7837,7076.0,7076.0,10770.0,12230.0,9607.0,4.4057670339823005,0.5622244175529786,0.2919773428732164,0.0,67.0,61.0,38.0,14.0
1.0,12582168252,-1,74078000000000.0,0.8545599979999999,159.722,94.67079,477.1673,115.6762,74080000000000.0,83407000000000.0,59977000000000.0,41075000000000.0,0.5741,0.6142,-1280.0,-1280.0,-2183.0,472.4,5386.0,5.3502961270206,0.5577475870849463,0.2893159786490908,0.0,38.0,34.0,11.0,3.0
1.0,12572881530,-1,70003000000000.0,0.8385930180000001,94.870003,16.64588,449.54095,199.02943,70035000000000.0,80411000000000.0,54845000000000.0,39707000000000.0,0.565,0.526,2756.0,2756.0,482.5,2025.0,3041.0,8.8393906554424,0.5462867520627549,0.2825178876854864,0.0,40.0,30.0,7.0,3.0
1.0,12572881680,-1,68636000000000.0,0.8330989990000001,76.041,8.62825,453.96634,186.00301,68639000000000.0,74847000000000.0,59364000000000.0,47211000000000.0,0.618,0.4922,3083.0,3083.0,5055.0,4103.0,3625.0,10.955918504491,0.5423468756361506,0.2801860536885046,0.0,32.0,26.0,14.0,4.0
1.0,12572842779,-1,68255000000000.0,0.831554993,135.957001,14.47296,470.28732,119.73659,68257000000000.0,77199000000000.0,52909000000000.0,37977000000000.0,0.5868,0.7173,-2998.0,-2998.0,-873.4,7491.0,8017.0,6.1163087364658,0.5412398815080176,0.2795313593223089,0.0,39.0,32.0,14.0,4.0
1.0,12581587428,-1,65079000000000.0,0.818450989,159.0,83.36395,408.03384,188.87277,65144000000000.0,71852000000000.0,53638000000000.0,36952000000000.0,0.6323,0.6142,5887.0,5887.0,9615.0,6880.0,5597.0,5.1474904968553,0.5318543738141686,0.2739889011115698,0.0,48.0,41.0,19.0,4.0
1.0,12572842924,-1,64555000000000.0,0.8162479859999999,106.974998,13.09489,490.47537,101.45116,64558000000000.0,71408000000000.0,53298000000000.0,38868000000000.0,0.5828,0.4605,1472.0,1472.0,2471.0,2833.0,3298.0,7.6302687661653,0.5302779445957502,0.2730594514868608,0.0,34.0,26.0,10.0,2.0
1.0,12581546429,-1,64215000000000.0,0.814812012,125.595001,84.73256,416.56464,140.65083,64215000000000.0,69151000000000.0,53687000000000.0,37041000000000.0,0.6017,0.5145,2696.0,2696.0,4018.0,4272.0,3528.0,6.487614996714701,0.5292506862199431,0.2724540149096709,0.0,42.0,33.0,8.0,4.0
1.0,12572262942,-1,63691000000000.0,0.8125900269999999,97.625999,64.62715,406.00272,123.14037,63849000000000.0,66535000000000.0,57323000000000.0,43558000000000.0,0.742,0.8564,6299.0,6299.0,16100.0,9804.0,7393.0,8.3235002491498,0.5276607469188807,0.2715173674140453,0.0,34.0,33.0,20.0,9.0
1.0,12572261896,-1,60167000000000.0,0.797317017,85.137001,39.88812,401.85443,185.08694,60189000000000.0,65083000000000.0,52462000000000.0,43881000000000.0,0.6682,0.5876,6270.0,6270.0,7426.0,2848.0,2174.0,9.3651057429189,0.5167446520434624,0.2650985362602802,0.0,38.0,34.0,18.0,8.0
1.0,12572335351,-1,129560000000000.0,1.029602051,317.296997,21.3262,415.3866,246.33293,130710000000000.0,148810000000000.0,89996000000000.0,55730000000000.0,0.7044,0.6008,36240.0,36240.0,16220.0,14410.0,10550.0,3.2449158382674,0.6844439876777451,0.3657951722051836,0.0,83.0,87.0,44.0,10.0
